Location,Month,Avg temp (°C),Avg high (°C),Avg low (°C),Daylight (h/day),Cloud cover (%),Rainfall (mm),Source URL
"Beppu, Japan",Jan,4.4,8.3,1.7,10.2,29,45.7,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",Feb,5.6,9.4,2.2,11.0,37,73.7,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",Mar,8.3,12.8,5.0,12.0,47,114.3,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",Apr,13.3,17.2,10.0,13.0,52,134.6,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",May,17.8,21.1,14.4,13.9,57,157.5,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",Jun,21.7,24.4,18.9,14.3,69,299.7,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",Jul,25.0,27.8,22.8,14.1,66,266.7,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",Aug,26.1,28.9,23.3,13.3,55,160.0,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",Sep,23.3,26.1,20.0,12.3,47,170.2,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",Oct,17.8,21.7,14.4,11.3,33,104.1,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",Nov,12.2,16.1,8.9,10.4,29,68.6,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Beppu, Japan",Dec,6.7,10.6,3.9,10.0,24,45.7,https://weatherspark.com/y/143093/Average-Weather-in-Beppu-Japan-Year-Round
"Matsumoto, Japan",Jan,-2.2,2.8,-5.6,10.0,33,25.4,https://weatherspark.com/y/143628/Average-Weather-in-Matsumoto-Japan-Year-Round
"Matsumoto, Japan",Feb,-1.1,3.9,-5.0,10.9,38,38.1,https://weatherspark.com/y/143628/Average-Weather-in-Matsumoto-Japan-Year-Round
