Location,Month,Avg temp (°C),Avg high (°C),Avg low (°C),Daylight (h/day),Cloud cover (%),Rainfall (mm),Source URL
"Salvador, Brazil",January,28,31,25,12.8,53,51,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",February,28,31,25,12.5,49,65,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",March,28,31,25,12.1,53,84,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",April,27,30,25,11.8,50,147,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",May,26,29,24,11.5,40,156,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",June,25,28,23,11.4,30,132,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",July,25,28,22,11.5,25,101,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",August,25,28,22,11.7,27,70,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",September,25,28,23,12,26,56,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",October,26,29,24,12.4,40,55,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",November,27,30,24,12.7,60,65,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Salvador, Brazil",December,27,30,24,12.9,62,56,https://weatherspark.com/y/31054/Average-Weather-in-Salvador-Bahia-Brazil-Year-Round
"Takayama, Japan",January,-3,1,-6,10,64,38,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",February,-2,2,-5,10.9,63,48,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",March,2,7,-1,12,57,86,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",April,9,14,5,13.1,56,107,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",May,14,19,10,14.1,59,112,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",June,19,23,15,14.6,68,150,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",July,22,27,19,14.3,68,183,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",August,23,28,19,13.5,58,130,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",September,19,23,15,12.4,55,170,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",October,12,17,8,11.2,50,119,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",November,6,11,3,10.2,51,91,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Takayama, Japan",December,1,4,-2,9.7,56,58,https://weatherspark.com/y/143621/Average-Weather-in-Takayama-Japan-Year-Round
"Kanazawa, Japan",January,3,6,1,10,72,135,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Kanazawa, Japan",February,3,7,1,10.9,67,104,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Kanazawa, Japan",March,7,11,4,12,55,109,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Kanazawa, Japan",April,12,17,9,13.2,52,112,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Kanazawa, Japan",May,17,21,14,14.1,54,112,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Kanazawa, Japan",June,21,24,18,14.6,62,145,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
