Location,Month,Avg Temp (°C),Avg High (°C),Avg Low (°C),Daylight (h/day),Cloud Cover (%),Rainfall (mm),Source URL
"Gordes, France",Jan,3.9,8.9,0.0,9.3,45,38.1,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",Feb,5.0,10.6,0.6,10.5,42,33.0,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",Mar,8.3,14.4,3.3,12.0,43,30.5,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",Apr,11.7,17.2,6.1,13.5,44,43.2,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",May,15.6,21.7,10.0,14.8,45,43.2,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",Jun,20.0,26.1,13.9,15.4,34,30.5,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",Jul,22.8,29.4,16.1,15.1,21,17.8,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",Aug,22.2,28.9,16.1,13.9,25,27.9,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",Sep,18.3,24.4,12.8,12.5,35,55.9,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",Oct,13.3,18.9,8.9,10.9,46,68.6,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",Nov,7.8,12.8,3.9,9.6,46,63.5,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gordes, France",Dec,4.4,9.4,1.1,9.0,44,40.6,https://weatherspark.com/y/51627/Average-Weather-in-Gordes-France-Year-Round
"Gjirokastër, Albania",Jan,5.6,10.0,1.1,9.7,51,81.3,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",Feb,6.7,11.1,2.2,10.7,52,83.8,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",Mar,8.9,13.9,3.9,12.0,49,66.0,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",Apr,12.8,17.8,7.2,13.3,44,48.3,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",May,17.2,23.3,11.1,14.4,36,30.5,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",Jun,21.7,28.3,15.0,15.0,21,15.2,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",Jul,25.0,31.7,17.2,14.7,7,7.6,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",Aug,24.4,31.1,17.2,13.7,11,20.3,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",Sep,20.0,26.1,13.9,12.4,28,58.4,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",Oct,15.0,21.1,10.0,11.1,42,96.5,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",Nov,10.6,15.0,5.6,9.9,51,121.9,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gjirokastër, Albania",Dec,6.1,11.1,2.2,9.4,53,114.3,https://weatherspark.com/y/85523/Average-Weather-in-Gjirokast%C3%ABr-Albania-Year-Round
"Gallipoli, Italy",Jan,10.0,12.8,6.7,9.7,42,45.7,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",Feb,10.0,13.3,6.7,10.7,42,45.7,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",Mar,11.7,15.0,8.3,12.0,41,45.7,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",Apr,14.4,18.3,11.1,13.3,39,33.0,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",May,18.9,23.3,14.4,14.4,34,20.3,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",Jun,23.3,27.8,18.9,15.0,20,12.7,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",Jul,26.1,30.6,21.1,14.7,7,10.2,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",Aug,26.1,30.6,21.1,13.7,12,15.2,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",Sep,22.8,26.7,18.3,12.4,27,40.6,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",Oct,18.9,22.2,15.0,11.1,39,61.0,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",Nov,14.4,17.2,11.1,10.0,42,71.1,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Gallipoli, Italy",Dec,11.1,13.9,7.8,9.4,43,58.4,https://weatherspark.com/y/82017/Average-Weather-in-Gallipoli-Italy-Year-Round
"Moab, USA",Jan,-1.7,4.4,-6.1,9.8,41,10.2,https://weatherspark.com/y/3012/Average-Weather-in-Moab-Utah-United-States-Year-Round
"Moab, USA",Feb,2.8,9.4,-2.2,10.8,45,10.2,https://weatherspark.com/y/3012/Average-Weather-in-Moab-Utah-United-States-Year-Round
