Location,Month,Avg Temp (°C),Avg High (°C),Avg Low (°C),Daylight (h/day),Cloud Cover (%),Rainfall (mm),Source URL
"Córdoba, Argentina",Jan,23.9,29.4,18.3,13.9,24,127.0,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",Feb,22.8,28.3,17.8,13.2,21,124.5,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",Mar,21.1,26.7,16.1,12.2,21,101.6,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",Apr,17.8,23.9,12.8,11.3,25,58.4,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",May,14.4,20.6,9.4,10.5,35,20.3,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",Jun,11.1,17.8,6.1,10.1,36,7.6,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",Jul,10.6,17.8,5.6,10.3,29,10.2,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",Aug,13.3,20.6,7.2,11.0,26,10.2,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",Sep,15.6,22.8,9.4,11.9,25,27.9,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",Oct,18.9,25.6,12.8,12.9,24,61.0,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",Nov,21.1,27.8,15.6,13.7,22,104.1,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Córdoba, Argentina",Dec,23.3,29.4,17.8,14.2,22,127.0,https://weatherspark.com/y/28147/Average-Weather-in-Córdoba-Argentina-Year-Round
"Santiago, Chile",Jan,21.7,30.0,13.9,14.1,10,2.5,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",Feb,21.1,29.4,13.3,13.3,9,5.1,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",Mar,19.4,27.8,11.1,12.2,16,5.1,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",Apr,15.6,23.3,8.3,11.2,30,15.2,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",May,11.7,18.9,6.1,10.4,48,40.6,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",Jun,9.4,16.1,4.4,10.0,51,61.0,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",Jul,8.9,15.6,3.3,10.2,47,48.3,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",Aug,10.0,17.2,4.4,11.0,42,38.1,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",Sep,12.2,19.4,6.1,11.9,39,20.3,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",Oct,15.6,22.8,8.3,13.0,32,10.2,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",Nov,18.3,26.1,10.6,13.9,21,5.1,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Santiago, Chile",Dec,20.6,28.9,12.8,14.3,13,2.5,https://weatherspark.com/y/26525/Average-Weather-in-Santiago-Chile-Year-Round
"Valparaíso, Chile",Jan,16.7,20.0,12.2,14.0,8,0.0,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",Feb,16.1,20.0,11.7,13.2,8,0.0,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",Mar,15.0,18.9,11.1,12.2,14,2.5,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",Apr,13.9,17.8,10.0,11.2,29,12.7,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",May,12.2,16.1,8.9,10.4,49,40.6,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",Jun,11.7,15.6,8.3,10.0,52,53.3,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",Jul,11.1,15.0,7.2,10.2,47,48.3,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",Aug,11.7,15.6,7.2,11.0,42,35.6,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",Sep,12.2,16.7,7.8,11.9,38,15.2,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",Oct,12.8,17.2,8.9,13.0,31,7.6,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",Nov,13.9,18.3,10.0,13.9,19,2.5,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Valparaíso, Chile",Dec,15.6,19.4,11.7,14.3,12,0.0,https://weatherspark.com/y/25811/Average-Weather-in-Valpara%C3%ADso-Chile-Year-Round
"Salta, Argentina",Jan,21.7,27.2,17.2,13.5,47,165.1,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
"Salta, Argentina",Feb,20.6,26.1,16.7,12.9,41,154.9,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
"Salta, Argentina",Mar,20.0,24.4,16.1,12.2,32,106.7,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
"Salta, Argentina",Apr,17.2,22.2,12.8,11.5,26,38.1,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
"Salta, Argentina",May,13.9,20.0,8.9,10.9,30,7.6,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
"Salta, Argentina",Jun,11.1,18.9,5.6,10.6,34,2.5,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
"Salta, Argentina",Jul,11.1,19.4,4.4,10.8,28,2.5,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
"Salta, Argentina",Aug,13.3,22.2,6.1,11.3,22,2.5,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
"Salta, Argentina",Sep,16.1,24.4,8.9,12.0,20,5.1,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
"Salta, Argentina",Oct,19.4,26.7,12.8,12.7,24,22.9,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
"Salta, Argentina",Nov,20.6,27.2,15.0,13.3,27,58.4,https://weatherspark.com/y/27945/Average-Weather-in-Salta-Argentina-Year-Round
