Location,Month,Avg temp (°C),Avg high (°C),Avg low (°C),Daylight (h/day),Cloud cover (%),Rainfall (mm),Source URL
"Cartagena, Colombia",Jan,26.7,30.6,24.4,11.6,49.0,2.5,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",Feb,27.2,30.6,24.4,11.8,52.0,2.5,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",Mar,27.2,30.6,25.0,12.1,61.0,2.5,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",Apr,27.8,30.6,25.6,12.4,80.0,25.4,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",May,28.3,31.1,26.1,12.6,93.0,86.4,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",Jun,28.3,31.1,26.1,12.7,94.0,86.4,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",Jul,28.3,31.1,26.1,12.7,93.0,91.4,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",Aug,28.3,31.1,26.1,12.4,94.0,101.6,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",Sep,28.3,31.1,26.1,12.2,95.0,121.9,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",Oct,27.8,30.6,25.6,11.9,92.0,154.9,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",Nov,27.8,30.6,25.6,11.6,83.0,109.2,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Cartagena, Colombia",Dec,27.2,30.6,25.0,11.5,65.0,35.6,https://weatherspark.com/y/22604/Average-Weather-in-Cartagena-Colombia-Year-Round
"Rio de Janeiro, Brazil",Jan,27.2,30.6,23.9,13.4,69.0,175.3,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",Feb,27.2,31.1,24.4,12.8,65.0,132.1,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",Mar,26.7,30.0,23.9,12.2,58.0,129.5,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",Apr,25.6,28.3,22.8,11.5,39.0,88.9,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",May,23.3,26.7,20.6,11.0,33.0,61.0,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",Jun,22.2,25.6,19.4,10.7,32.0,45.7,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",Jul,21.7,25.0,18.9,10.9,30.0,38.1,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",Aug,22.2,25.6,18.9,11.4,27.0,35.6,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",Sep,22.2,26.1,19.4,12.0,34.0,66.0,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",Oct,23.3,26.7,21.1,12.7,49.0,88.9,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",Nov,24.4,28.3,22.2,13.2,59.0,147.3,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Rio de Janeiro, Brazil",Dec,26.1,29.4,23.3,13.5,67.0,177.8,https://weatherspark.com/y/30563/Average-Weather-in-Rio-de-Janeiro-Brazil-Year-Round
"Ghent, Belgium",Jan,3.9,6.1,1.7,8.5,69.0,48.3,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",Feb,3.9,6.7,1.7,10.1,64.0,40.6,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",Mar,7.2,10.0,3.9,12.0,61.0,38.1,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",Apr,10.0,13.9,6.1,13.9,54.0,33.0,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",May,13.3,17.8,9.4,15.6,53.0,43.2,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",Jun,16.1,20.0,12.2,16.5,48.0,50.8,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",Jul,18.3,22.2,13.9,16.0,43.0,50.8,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",Aug,18.3,22.2,13.9,14.4,44.0,48.3,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",Sep,15.6,18.9,11.7,12.6,50.0,50.8,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",Oct,11.7,14.4,8.3,10.6,58.0,50.8,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",Nov,7.2,10.0,5.0,8.9,68.0,53.3,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Ghent, Belgium",Dec,4.4,6.7,2.8,8.0,70.0,55.9,https://weatherspark.com/y/49977/Average-Weather-in-Gent-Belgium-Year-Round
"Madeira, Portugal",Jan,16.7,18.9,15.0,10.3,49.0,22.9,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Madeira, Portugal",Feb,16.1,18.3,14.4,11.0,45.0,27.9,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Madeira, Portugal",Mar,16.7,18.9,14.4,12.0,41.0,22.9,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Madeira, Portugal",Apr,17.2,20.0,15.6,13.0,35.0,12.7,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Madeira, Portugal",May,18.9,21.1,16.7,13.9,27.0,7.6,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
