Location,Month,Avg Temp (°C),Avg High (°C),Avg Low (°C),Daylight (h/day),Cloud Cover (%),Rainfall (mm),Source
"Mostar, Bosnia and Herzegovina",Jan,3.3,7.8,-0.6,9.4,55,76,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",Feb,4.4,9.4,0.0,10.5,54,81,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",Mar,8.3,13.3,3.3,12.0,54,76,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",Apr,12.2,17.8,6.7,13.5,53,71,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",May,16.7,22.8,11.1,14.7,47,56,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",Jun,21.1,27.2,14.4,15.4,32,46,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",Jul,23.9,30.6,17.2,15.0,17,28,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",Aug,23.9,30.6,16.7,13.9,21,38,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",Sep,18.9,25.6,12.8,12.4,35,71,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",Oct,13.9,19.4,8.3,11.0,48,89,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",Nov,8.3,12.8,3.9,9.7,56,112,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Mostar, Bosnia and Herzegovina",Dec,3.9,8.3,0.6,9.0,56,97,https://weatherspark.com/y/82100/Average-Weather-in-Mostar-Bosnia-&-Herzegovina-Year-Round
"Tirana, Albania",Jan,5.6,11.7,0.6,9.6,51,69,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",Feb,6.7,12.2,1.7,10.7,51,71,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",Mar,10.0,15.6,4.4,12.0,50,61,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",Apr,13.3,18.9,7.2,13.4,47,61,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",May,17.8,23.9,11.7,14.5,40,41,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",Jun,22.2,28.3,15.0,15.1,23,30,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",Jul,24.4,31.1,17.2,14.8,10,18,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",Aug,24.4,31.1,17.2,13.7,14,25,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",Sep,20.0,27.2,13.9,12.4,30,61,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",Oct,15.6,22.2,9.4,11.0,43,79,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",Nov,10.6,16.7,5.0,9.9,50,99,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tirana, Albania",Dec,6.7,12.2,1.7,9.2,53,86,https://weatherspark.com/y/84331/Average-Weather-in-Tirana-Albania-Year-Round
"Tbilisi, Georgia",Jan,1.7,6.7,-2.2,9.6,48,5,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",Feb,2.8,7.8,-1.1,10.6,51,8,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",Mar,6.7,12.2,2.2,12.0,51,13,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",Apr,12.2,17.8,7.2,13.4,52,30,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",May,17.2,22.8,11.7,14.6,44,38,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",Jun,21.7,27.2,16.1,15.2,25,36,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",Jul,25.0,30.6,19.4,14.8,10,20,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",Aug,24.4,30.0,18.9,13.8,9,20,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",Sep,20.0,25.0,15.0,12.4,22,18,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",Oct,13.3,18.3,8.9,11.0,43,23,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",Nov,7.2,11.7,3.3,9.8,49,18,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Tbilisi, Georgia",Dec,2.8,7.2,-0.6,9.2,48,8,https://weatherspark.com/y/103478/Average-Weather-in-Tbilisi-Georgia-Year-Round
"Chengdu, China",Jan,6.1,9.4,3.3,10.4,24,0,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",Feb,8.3,11.7,5.6,11.1,30,5,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",Mar,12.8,16.1,8.9,12.0,41,13,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",Apr,17.8,21.7,13.9,12.9,50,38,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",May,21.7,26.1,18.3,13.7,46,69,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",Jun,24.4,27.8,21.1,14.1,53,109,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",Jul,26.1,29.4,22.8,13.9,58,188,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",Aug,25.6,29.4,22.2,13.2,55,201,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",Sep,22.2,25.0,18.9,12.3,47,104,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",Oct,17.8,20.6,15.0,11.4,35,28,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",Nov,12.8,15.6,10.0,10.6,26,8,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Chengdu, China",Dec,7.8,10.6,5.0,10.2,22,3,https://weatherspark.com/y/115333/Average-Weather-in-Chengdu-China-Year-Round
"Istanbul, Turkey",Jan,6.1,8.9,3.9,9.6,55,58,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",Feb,6.1,8.9,3.9,10.7,56,48,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",Mar,8.3,11.7,5.6,12.0,52,46,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",Apr,12.2,16.1,8.9,13.4,46,38,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",May,17.2,21.1,13.3,14.5,34,28,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",Jun,22.2,26.1,18.3,15.1,18,25,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",Jul,24.4,28.3,20.6,14.8,5,15,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",Aug,25.0,28.3,21.1,13.7,7,18,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",Sep,21.1,25.0,17.2,12.4,21,33,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",Oct,16.7,19.4,13.3,11.1,40,53,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",Nov,11.7,14.4,9.4,9.9,50,66,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Istanbul, Turkey",Dec,8.3,10.6,6.1,9.3,57,71,https://weatherspark.com/y/95434/Average-Weather-in-%C4%B0stanbul-Turkey-Year-Round
"Göreme, Turkey",Jan,-1.7,3.3,-6.7,9.8,45,15,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Feb,-0.6,5.6,-5.6,10.8,47,13,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Mar,4.4,10.6,-1.7,12.0,43,20,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",Apr,10.0,16.7,2.8,13.3,40,30,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
"Göreme, Turkey",May,13.9,21.1,6.7,14.3,29,30,https://weatherspark.com/y/98298/Average-Weather-in-G%C3%B6reme-Turkey-Year-Round
