Location,Month,Avg Temp (°C),Avg High (°C),Avg Low (°C),Daylight (h/day),Cloud Cover (%),Rainfall (mm),Source URL
"Zakynthos, Greece",Jan,10.6,14.4,6.1,9.9,42,84,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",Feb,10.6,14.4,6.1,10.8,42,76,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",Mar,12.2,16.1,7.2,12.0,38,53,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",Apr,15.0,19.4,10.0,13.2,34,33,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",May,18.9,24.4,13.3,14.2,27,23,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",Jun,23.3,28.9,17.2,14.7,13,10,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",Jul,26.1,31.7,20.0,14.5,2,5,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",Aug,26.7,31.7,20.0,13.5,6,10,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",Sep,22.8,27.8,17.2,12.4,21,36,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",Oct,18.9,23.3,13.9,11.2,37,76,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",Nov,15.0,18.9,10.6,10.1,43,112,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Zakynthos, Greece",Dec,11.7,15.6,7.8,9.6,44,107,https://weatherspark.com/y/150400/Average-Weather-in-Zakynthos-Greece-Year-Round
"Oia, Greece",Jan,12.2,14.4,10.0,10.0,36,64,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",Feb,12.2,14.4,9.4,10.9,35,61,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",Mar,13.3,16.1,10.6,12.0,32,38,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",Apr,16.1,19.4,13.3,13.2,30,18,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",May,20.0,23.3,16.7,14.1,23,10,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",Jun,24.4,27.2,20.6,14.6,8,3,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",Jul,26.1,29.4,23.3,14.3,0,0,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",Aug,26.1,28.9,23.3,13.5,1,0,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",Sep,23.9,26.7,20.6,12.4,11,8,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",Oct,20.0,22.8,17.2,11.2,28,30,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",Nov,16.7,18.9,13.9,10.2,37,53,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Oia, Greece",Dec,13.9,15.6,11.1,9.7,38,66,https://weatherspark.com/y/91778/Average-Weather-in-O%C3%ADa-Greece-Year-Round
"Sharjah, UAE",Jan,18.9,23.3,14.4,10.8,22,15,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",Feb,20.0,25.0,15.6,11.3,21,18,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",Mar,22.8,27.8,17.8,12.0,27,15,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",Apr,26.7,32.2,21.1,12.8,27,5,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",May,31.1,36.7,25.0,13.4,15,0,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",Jun,32.8,38.9,27.2,13.7,24,3,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",Jul,35.0,40.0,30.0,13.5,45,0,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",Aug,35.0,40.0,30.0,13.0,37,0,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",Sep,32.2,37.8,27.2,12.3,18,0,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",Oct,29.4,34.4,23.9,11.5,10,0,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",Nov,25.0,30.0,19.4,10.9,18,5,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Sharjah, UAE",Dec,21.1,25.6,16.1,10.6,22,13,https://weatherspark.com/y/105471/Average-Weather-in-Sharjah-United-Arab-Emirates-Year-Round
"Dubai, UAE",Jan,18.9,23.9,14.4,10.8,22,15,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",Feb,20.0,25.6,15.0,11.3,22,15,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",Mar,22.8,28.9,17.8,12.0,27,13,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",Apr,27.2,33.9,21.1,12.8,27,5,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",May,31.1,38.3,24.4,13.4,16,0,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",Jun,32.8,40.0,26.7,13.7,25,3,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",Jul,35.0,41.1,29.4,13.5,46,0,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",Aug,35.0,41.1,30.0,13.0,38,0,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",Sep,32.8,38.3,27.2,12.3,18,0,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",Oct,28.9,35.0,23.3,11.5,10,0,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",Nov,25.0,30.6,19.4,10.9,18,3,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Dubai, UAE",Dec,20.6,25.6,16.1,10.6,22,10,https://weatherspark.com/y/105470/Average-Weather-in-Dubai-United-Arab-Emirates-Year-Round
"Ilha de São Miguel, Azores, Portugal",Jan,15.0,16.7,13.3,9.9,61,53,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",Feb,14.4,16.7,12.8,10.8,60,48,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",Mar,15.0,16.7,12.8,12.0,56,41,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",Apr,15.6,17.8,13.3,13.2,51,36,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",May,16.7,18.9,15.0,14.2,48,25,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",Jun,18.9,21.1,16.7,14.7,39,15,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",Jul,21.1,23.9,18.9,14.5,23,5,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",Aug,22.2,25.0,20.0,13.5,27,13,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",Sep,21.7,23.9,19.4,12.4,41,33,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",Oct,19.4,21.7,17.2,11.2,52,51,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",Nov,17.2,19.4,15.6,10.1,59,61,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Ilha de São Miguel, Azores, Portugal",Dec,16.1,17.8,13.9,9.6,61,76,https://weatherspark.com/y/150442/Average-Weather-in-Ilha-de-S%C3%A3o-Miguel-Portugal-Year-Round
"Bolívar, Venezuela",Jan,27.2,32.8,22.8,11.7,69,18,https://weatherspark.com/y/28386/Average-Weather-in-Ciudad-Bol%C3%ADvar-Venezuela-Year-Round
